"","X","institute","title","abs"
"1",2,"University of Washington","Designing for impact: identifying stakeholder-driven interventions to supportrecovery after major cancer surgery.","PURPOSE: Complex bladder and colorectal cancer surgeries are associated withsignificant patient morbidity, yet few resources exist to prepare patients forthe high levels of distress and complications they may experience. Afterethnographic research to identify design challenges, we held a user-centereddesign (UCD) workshop to begin to develop patient- and caregiver-centeredinterventions to support preparation for and recovery after complex cancersurgery.METHODS: Concepts that emerged from brainstorming sessions were visuallyrepresented on storyboards and rated. Highly scored concepts were furtherdeveloped in break-out prototyping sessions and then presented to the entiregroup for review in person and during subsequent webinars. We collected workshopproducts (worksheets, prototypes, and recordings) for analysis to identifyopportunities for intervention. The workshop, held in late , was attended bythree colorectal/oncologic surgeons, three urologic surgeons, five ostomy nurses,one quality improvement leader, three patients, one caregiver, and threeexperienced UCD facilitators.RESULTS: Three opportunity areas were identified: () enhanced patient educationincluding tele-health and multi-media tools (available at hospitals/clinics oronline in any setting), () personalized discharge assessment and care planning,and () integrated symptom monitoring and educational interventions. Stakeholdersreached consensus that enhanced patient education was the most importantdirection for subsequent intervention development.CONCLUSIONS: We engaged diverse stakeholders in a participatory, UCD process andconcluded that research and practice improvement should prioritize thedevelopment of educational interventions in the pre-operative period to set thegroundwork for improving appropriate self-care during recovery from majorcolorectal and bladder cancer surgeries."
"2",1,"University of Chicago","Systematic Review of the Impact of Cancer Survivorship Care Plans on HealthOutcomes and Health Care Delivery.","Purpose Numerous organizations recommend that patients with cancer receive asurvivorship care plan (SCP) comprising a treatment summary and follow-up careplans. Among current barriers to implementation are providers' concerns about thestrength of evidence that SCPs improve outcomes. This systematic review evaluateswhether delivery of SCPs has a positive impact on health outcomes and health caredelivery for cancer survivors. Methods Randomized and nonrandomized studiesevaluating patient-reported outcomes, health care use, and disease outcomes afterdelivery of SCPs were identified by searching MEDLINE, Embase, PsycINFO,Cumulative Index to Nursing and Allied Health Literature, and Cochrane Library.Data extracted by independent raters were summarized on the basis of qualitativesynthesis. Results Eleven nonrandomized and  randomized studies met inclusioncriteria. Variability was evident across studies in cancer types, SCP deliverytiming and method, SCP recipients and content, SCP-related counseling, andoutcomes assessed. Nonrandomized study findings yielded descriptive informationon satisfaction with care and reactions to SCPs. Randomized study findings weregenerally negative for the most commonly assessed outcomes (ie, physical,functional, and psychological well-being); findings were positive in singlestudies for other outcomes, including amount of information received,satisfaction with care, and physician implementation of recommended care.Conclusion Existing research provides little evidence that SCPs improve healthoutcomes and health care delivery. Possible explanations include heterogeneity instudy designs and the low likelihood that SCP delivery alone would influencedistal outcomes. Findings are limited but more positive for proximal outcomes(eg, information received) and for care delivery, particularly when SCPs areaccompanied by counseling to prepare survivors for future clinical encounters.Recommendations for future research include focusing to a greater extent onevaluating ways to ensure SCP recommendations are subsequently acted on as partof ongoing care."
"3",4,"Duke University","Multivalent Binding and Biomimetic Cell Rolling Improves the Sensitivity andSpecificity of Circulating Tumor Cell Capture.","Purpose: We aimed to examine the effects of multivalent binding and biomimeticcell rolling on the sensitivity and specificity of circulating tumor cell (CTC)capture. We also investigated the clinical significance of CTCs and their kineticprofiles in patients with cancer undergoing radiotherapy treatment.ExperimentalDesign: Patients with histologically confirmed primary carcinoma undergoingradiotherapy, with or without chemotherapy, were eligible for enrollment.Peripheral blood was collected prospectively at up to five time points, includingbefore radiotherapy, at the first week, mid-point and final week of treatment, aswell as  to  weeks after completion of radiotherapy. CTC capture wasaccomplished using a nanotechnology-based assay (CapioCyte) functionalized withaEpCAM, aHER-, and aEGFR.Results: CapioCyte was able to detect CTCs in all cancer patients enrolled. Multivalent binding via poly(amidoamine) dendrimersfurther improved capture sensitivity. We also showed that cell rolling effect canimprove CTC capture specificity (% of captured cells that are CK+/CD-/DAPI+) upto %. Among the  patients with sequential CTC measurements, the median CTCdecreased from  CTCs/mL before radiotherapy to  CTCs/mL at completion ofradiotherapy (P = .). CTCs declined throughout radiotherapy in patients withcomplete clinical and/or radiographic response, in contrast with an elevation inCTCs at mid or post-radiotherapy in the two patients with known pathologicresidual disease.Conclusions: Our study demonstrated that multivalent binding andcell rolling can improve the sensitivity and specificity of CTC capture comparedwith multivalent binding alone, allowing reliable monitoring of CTC changesduring and after treatment. Clin Cancer Res; (); -. © AACR."
"4",2,"University of Chicago","What Happened to Disparities in CRC Screening Among FFS Medicare EnrolleesFollowing Medicare Modernization?","The Medicare Modernization Act of , implemented in , increased managedcare options for seniors. It introduced insurance plans for prescription drugcoverage for all Medicare beneficiaries, whether they were enrolled in FFS ormanaged care (Medicare Advantage) plans. The availability of drug coveragebeginning in  served to free up budgets for FFS Medicare enrollees that couldbe used to make copayments for colorectal cancer (CRC) screening using endoscopy(colonoscopy or sigmoidoscopy). In , Medicare eliminated the copaymentsrequired by seniors for CRC screening by endoscopy. Later in , CRC screeningby colonoscopy became part of the gold standard for CRC screening. Thislegitimized its use and offered even further encouragement to seniors, who mayhave been reluctant to undergo the procedure because of the non-pecuniary risksassociated with it. In addition,  CRC screening interventions occurred duringthis timeframe to enhance compliance with screening standards. Using multilevelanalysis of individuals' endoscopy utilization, derived from % FFS Medicareclaims, along with county-level market and contextual factors, we compare theperiods before and after the MMA (- to -) to determine whetherdisparities in the utilization of endoscopic CRC screening occurred or changedover the decade. We examined Blacks, Asians, and Hispanics relative to Whites,and Females relative to Males (with race or ethnicity combined). We examined eachstate separately for evidence of disparities within states, to avoid confoundingby geographic disparities. We expected that the net effect of the policy changesand the targeted interventions over the decade would be to increase CRC screeningby endoscopy, reducing disparities. We saw improvements over time (reduceddisparities relative to Whites) for Blacks and Hispanics residing in severalstates, and improvements over time for Females relative to Males in many states.For the vast majority of states, however, disparities persisted with Whites andMales exhibiting greater rates of utilization than other groups. States thatundertook the interventions were more likely to have had improvements indisparities or positive disparities for women and minorities. While some gainswere made over this time period, the gains were unevenly distributed across theUSA and more work needs to be done to reduce remaining disparities."
"5",4,"Duke University Medical Center","Late-stage tumors induce anemia and immunosuppressive extramedullary erythroidprogenitor cells.","Impaired immunity in patients with late-stage cancer is not limited to antitumorresponses, as demonstrated by poor vaccination protection and high susceptibilityto infection-. This has been largely attributed to chemotherapy-inducedimpairment of innate immunity, such as neutropenia, whereas systemic effects oftumors on hematopoiesis and adoptive immunity remain incompletely understood.Here we observed anemia associated with severe deficiency of CD+ T cellresponses against pathogens in treatment-naive mice bearing large tumors.Specifically, we identify CD+ erythroid progenitor cells (CD+TER+; EPCs)as robust immunosuppressors. CD+ EPCs, induced by tumor growth-associatedextramedullary hematopoiesis, accumulate in the spleen to become a majorpopulation, outnumbering regulatory T cells (Tregs) and myeloid-derivedsuppressor cells (MDSCs). The CD+ EPC transcriptome closely resembles that ofMDSCs, and, like MDSCs, reactive oxygen species production is a major mechanismunderlying CD+ EPC-mediated immunosuppression. Similarly, an immunosuppressiveCD+ EPC population was detected in patients with cancer who have anemia. Thesefindings identify a major population of immunosuppressive cells that likelycontributes to the impaired T cell responses commonly observed in patients withadvanced cancer."
"6",3,"Memorial Sloan Kettering Cancer Center","Association between patient-reported hearing and visual impairments andfunctional, psychological, and cognitive status among older adults with cancer.","BACKGROUND: Hearing and visual impairments are common among community-dwellingolder adults, and are associated with psychological, functional, and cognitivedeficits. However, to the authors' knowledge, little is known regarding theirprevalence among older patients with cancer.METHODS: The current study was a secondary analysis combining  prospectivecohorts of adults aged ≥ years with solid tumors who were receivingchemotherapy. The authors assessed the association between patient-reportedhearing and/or visual impairment (defined as fair/poor grading by self-report)and physical function, instrumental activities of daily living (IADLs), anxiety,depression, and cognition. Descriptive analyses were conducted to summarizepatient and treatment characteristics. One-way analysis of variance andchi-square tests were conducted as appropriate to examine differences betweenpatients with and without sensory impairments. Logistic regression was used toanalyze associations between sensory impairments and outcomes.RESULTS: Among  patients with a median age of  years who had solid tumors(% with breast/gynecological tumors, % with lung tumors, and % withgastrointestinal tumors), approximately % reported hearing impairment alone,% reported visual impairment alone, and % reported dual sensory impairment.Hearing impairment was associated with IADL dependence (odds ratio [OR], .),depression (OR, .), and anxiety (OR, .). Visual impairment was associatedwith IADL dependence (OR, .), poor physical function (OR, .), and depression(OR, .). Dual impairment was associated with IADL dependence (OR, .), anxiety(OR, .), depression (OR, .), and cognitive impairment (OR, .).CONCLUSIONS: Sensory impairment is common among older adults with cancer.Patients with sensory impairment are more likely to have functional,psychological, and cognitive deficits. Interventions aimed at improving thevision and hearing of older adults with cancer should be studied. Cancer . © American Cancer Society."
"7",10,"Duke University Medical Center","Association between patient-reported hearing and visual impairments andfunctional, psychological, and cognitive status among older adults with cancer.","BACKGROUND: Hearing and visual impairments are common among community-dwellingolder adults, and are associated with psychological, functional, and cognitivedeficits. However, to the authors' knowledge, little is known regarding theirprevalence among older patients with cancer.METHODS: The current study was a secondary analysis combining  prospectivecohorts of adults aged ≥ years with solid tumors who were receivingchemotherapy. The authors assessed the association between patient-reportedhearing and/or visual impairment (defined as fair/poor grading by self-report)and physical function, instrumental activities of daily living (IADLs), anxiety,depression, and cognition. Descriptive analyses were conducted to summarizepatient and treatment characteristics. One-way analysis of variance andchi-square tests were conducted as appropriate to examine differences betweenpatients with and without sensory impairments. Logistic regression was used toanalyze associations between sensory impairments and outcomes.RESULTS: Among  patients with a median age of  years who had solid tumors(% with breast/gynecological tumors, % with lung tumors, and % withgastrointestinal tumors), approximately % reported hearing impairment alone,% reported visual impairment alone, and % reported dual sensory impairment.Hearing impairment was associated with IADL dependence (odds ratio [OR], .),depression (OR, .), and anxiety (OR, .). Visual impairment was associatedwith IADL dependence (OR, .), poor physical function (OR, .), and depression(OR, .). Dual impairment was associated with IADL dependence (OR, .), anxiety(OR, .), depression (OR, .), and cognitive impairment (OR, .).CONCLUSIONS: Sensory impairment is common among older adults with cancer.Patients with sensory impairment are more likely to have functional,psychological, and cognitive deficits. Interventions aimed at improving thevision and hearing of older adults with cancer should be studied. Cancer . © American Cancer Society."
"8",2,"National Cancer Institute","Stroma modifies relationships between risk factor exposure and age-relatedepithelial involution in benign breast.","Delayed age-related lobular involution has been previously associated withelevated breast cancer risk. However, intraindividual variability in epithelialinvolution status within a woman is undefined. We developed a novel measure ofage-related epithelial involution, density of epithelial nuclei in epithelialareas using digital image analysis in combination with stromal characteristics(percentage of section area comprising stroma). Approximately  hematoxylinand eosin stained sections of benign breast tissue were evaluated from participants having breast surgery for cancer or benign conditions. Two tosixteen slides per woman from different regions of the breast were studied.Epithelial involution status varied within a woman and as a function of stromalarea. Percentage stromal area varied between samples from the same woman (mediandifference between highest and lowest stromal area within a woman was .%, butranged from . to .%). Restricting to women with at least % stromal area(N = ), epithelial nuclear density decreased with age (-. cells/mm perdecade of life after age , p < .), increased with mammographic density(. cells/mm per increasing BI-RADs density category p = .), andincreased non-significantly with recent parity, later age at first pregnancy, andlonger and more recent oral contraceptive use. These associations were attenuatedin women with mostly fat samples (<% stroma (N = )). Thirty-one percent ofwomen evaluated had both adequate stroma (≥%) and mostly fat (<% stroma)regions of breast tissue, with the probability of having both types increasingwith the number breast tissue samplings. Several breast cancer risk factors areassociated with elevated age-related epithelial content, but associations dependupon stromal context. Stromal characteristics appear to modify relationshipsbetween risk factor exposures and breast epithelial involution."
"9",1,"Duke University","Association of Interim FDG-PET Imaging During Chemoradiation for Squamous AnalCanal Carcinoma With Recurrence.","PURPOSE: Imaging parameters from F-fluorodeoxyglucose positron emissiontomography (F-FDG PET) before and after chemoradiation therapy (CRT) foranal canal cancer correlate with clinical outcomes. This prospective,hypothesis-generating pilot study investigates the relationship between interimPET imaging during CRT for anal canal cancer and clinical outcome.METHODS AND MATERIALS: From June  to August ,  patients with anal canalcancer were enrolled in a prospective clinical study of PET prior to and duringCRT after ∼ Gy. PET parameters of the primary site included maximumstandardized uptake value (SUVmax), metabolic tumor volume (MTV), and totallesion glycolysis (TLG). MTV and TLG were calculated based on % SUVmax (MTV,TLG) or SUV . (MTV., TLG.) thresholds for pretreatment and interimimages. Absolute and change in PET parameters were assessed for association withfreedom from local and regional recurrence (FFLR) using single-predictor Coxregression models. Local and regional recurrence were primary and nodal(in-field) recurrences, respectively.RESULTS: Twenty-three patients were eligible for analysis. Patients were excludedwith nonsquamous cell histology, recurrent anal cancer, and incomplete studiesdue to treatment toxicity or patient choice. Median follow-up was . years.Pretreatment MTV (HR . [% CI .-.]), interim MTV. (. [.-.]),and interim TLG. (. [.-.]) were associated with FFLR.CONCLUSIONS: In this prospective pilot study, interim PET parameters wereassociated with FFLR. These results warrant further investigation assessing thevalue of interim PET as a biomarker of response in the treatment of patients withanal cancer."
"10",2,"University of Washington","Induction chemotherapy with carboplatin, nab-paclitaxel and cetuximab for atleast Nb nodal status or surgically unresectable squamous cell carcinoma of thehead and neck.","BACKGROUND: Although induction studies of TPF in SCCHN have not improved outcomescompared to chemoradiotherapy alone, phase II studies of weekly carboplatin(CbP), paclitaxel and cetuximab (C) have shown promising results.Nano-albumin-paclitaxel (nab-paclitaxel) based chemotherapy has demonstrated ahigher response rate (RR) than solvent-based paclitaxel in squamous cellcarcinoma of the lung with favorable toxicity.MATERIALS AND METHODS: Patients with treatment naïve SCCHN of any site with ≥Nbdisease or that was unresectable by strict criteria were eligible. Patients weretreated with nab-paclitaxel  mg/m, CbP area under the curve (AUC)  and C mg/m week  then  mg/m for six weeks, followed by standard of carechemoradiotherapy (CRT). The primary endpoint was clinical response rate toinduction therapy as defined by RECIST version .. Secondary measures includedtoxicity, progression-free survival, overall survival and quality of life asmeasured by FACT-HN.RESULTS:  eligible subjects were treated. Primary sites were: oropharynx (OPX)(), larynx () oral cavity (OC) (), hypopharynx (). The most common grade or  toxicity during induction was acneiform rash (%) followed by neutropenia(%). RR was .%. Median PFS and OS have not been reached (median follow-up of. years); they were superior in patients with response.CONCLUSIONS: The combination of nab-paclitaxel, CbP and C is feasible,tolerable and active against locally advanced SCCHN."
